No,DateTime,Device Name,Location,Energy Consumption (kWh)
700,"10, 15/12/25",GG_L5_WB_AHU,WB-AHU,
701,"10, 15/12/25",GG_L4_WT_AHU,WT-AHU,24905.09
702,"10, 15/12/25",GG_L3_WT_AHU,WT-AHU,22821.24
703,"10, 15/12/25",GG_L3_WB_AHU,WB-AHU,22476.13
704,"10, 15/12/25",GG_L4_WB_AHU,WB-AHU,
709,"10, 15/12/25",GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,
713,"10, 15/12/25",GG_L6_WB_AHU,WB-AHU,21761.16
720,"10, 15/12/25",GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,36141.14
721,"10, 15/12/25",GG_L1_DWS-SDP STK,DWS-Gudang,28943.83
723,"10, 15/12/25",GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,362672.88
726,"10, 15/12/25",GG_L1_DWS-SDP LP,DWS-Gudang,20058.01
730,"10, 15/12/25",GG_L3_DSO-SDP Server,DSO-R Monitoring,44417.46
731,"10, 15/12/25",GG_L1_PED-SDP STK,BPP-SDP.AHU,
733,"10, 15/12/25",GG_L2_R Panel-SDP PP,R Panel,
734,"10, 15/12/25",GG_L2_R Panel-SDP DB UPS,R Panel,312510.25
735,"10, 15/12/25",GG_L2_R Panel-SDP DB LED,R Panel,138781.42
736,"10, 15/12/25",GG_L1_PED-SDP LP,BPP-SDP.AHU,62056.33
739,"10, 15/12/25",GG_L3_DSO-SDP-LP-STK,DSO-R Panel,
752,"11, 15/12/25",GG_L1_WT-BPP_AHU,WT BPP-AHU,19246.93
753,"11, 15/12/25",GG_L1_WB-DWS_AHU,WB DWS-AHU,
755,"11, 15/12/25",GG_L5_WB_AHU,WB-AHU,20444.39
756,"11, 15/12/25",GG_L4_WT_AHU,WT-AHU,24909.55
757,"11, 15/12/25",GG_L3_WT_AHU,WT-AHU,22830.06
758,"11, 15/12/25",GG_L3_WB_AHU,WB-AHU,22482.9
759,"11, 15/12/25",GG_L4_WB_AHU,WB-AHU,32100.36
765,"11, 15/12/25",GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,62031.04
767,"11, 15/12/25",GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,
769,"11, 15/12/25",GG_L1_WT-B2B_AHU,WT B2B-AHU,
771,"11, 15/12/25",GG_L6_WB_AHU,WB-AHU,21766.21
778,"11, 15/12/25",GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,36147.5
779,"11, 15/12/25",GG_L1_DWS-SDP STK,DWS-Gudang,28949.32
781,"11, 15/12/25",GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,362733.36
784,"11, 15/12/25",GG_L1_DWS-SDP LP,DWS-Gudang,20062.24
788,"11, 15/12/25",GG_L3_DSO-SDP Server,DSO-R Monitoring,44422.5
789,"11, 15/12/25",GG_L1_PED-SDP STK,BPP-SDP.AHU,39647.76
791,"11, 15/12/25",GG_L2_R Panel-SDP PP,R Panel,133657.58
792,"11, 15/12/25",GG_L2_R Panel-SDP DB UPS,R Panel,
793,"11, 15/12/25",GG_L2_R Panel-SDP DB LED,R Panel,138795.04
794,"11, 15/12/25",GG_L1_PED-SDP LP,BPP-SDP.AHU,62077.6
797,"11, 15/12/25",GG_L3_DSO-SDP-LP-STK,DSO-R Panel,
810,"12, 15/12/25",GG_L1_WT-BPP_AHU,WT BPP-AHU,19250.56
811,"12, 15/12/25",GG_L1_WB-DWS_AHU,WB DWS-AHU,38412.76
813,"12, 15/12/25",GG_L5_WB_AHU,WB-AHU,20448.82
814,"12, 15/12/25",GG_L4_WT_AHU,WT-AHU,24915.99
815,"12, 15/12/25",GG_L3_WT_AHU,WT-AHU,22832.74
816,"12, 15/12/25",GG_L3_WB_AHU,WB-AHU,22489.37
817,"12, 15/12/25",GG_L4_WB_AHU,WB-AHU,32111.8
822,"12, 15/12/25",GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,
824,"12, 15/12/25",GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,62043.92
826,"12, 15/12/25",GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,
829,"12, 15/12/25",GG_L6_WB_AHU,WB-AHU,21771.51
836,"12, 15/12/25",GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,36153.58
837,"12, 15/12/25",GG_L1_DWS-SDP STK,DWS-Gudang,28954.45
839,"12, 15/12/25",GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,362749.8
842,"12, 15/12/25",GG_L1_DWS-SDP LP,DWS-Gudang,20066.02
846,"12, 15/12/25",GG_L3_DSO-SDP Server,DSO-R Monitoring,44427.26
847,"12, 15/12/25",GG_L1_PED-SDP STK,BPP-SDP.AHU,39653.34
849,"12, 15/12/25",GG_L2_R Panel-SDP PP,R Panel,133676.34
851,"12, 15/12/25",GG_L2_R Panel-SDP DB UPS,R Panel,
852,"12, 15/12/25",GG_L2_R Panel-SDP DB LED,R Panel,138811.1
853,"12, 15/12/25",GG_L1_PED-SDP LP,BPP-SDP.AHU,62091.24
856,"12, 15/12/25",GG_L3_DSO-SDP-LP-STK,DSO-R Panel,
869,"13, 15/12/25",GG_L1_WT-BPP_AHU,WT BPP-AHU,19257.41
870,"13, 15/12/25",GG_L1_WB-DWS_AHU,WB DWS-AHU,38424.7
872,"13, 15/12/25",GG_L5_WB_AHU,WB-AHU,20452.78
873,"13, 15/12/25",GG_L4_WT_AHU,WT-AHU,24923.84
874,"13, 15/12/25",GG_L3_WT_AHU,WT-AHU,22839.42
875,"13, 15/12/25",GG_L3_WB_AHU,WB-AHU,22494.04
876,"13, 15/12/25",GG_L4_WB_AHU,WB-AHU,32119.4
881,"13, 15/12/25",GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,
