No,DateTime,Device Name,Location,Energy Consumption (kWh)
894,15/11/25,GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,1087374.88
902,15/11/25,GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,1471504.56
888,15/11/25,GG_L2_R Panel-SDP DB LED,R Panel,3108515.77
935,15/11/25,GG_L2_R Panel-SDP DB UPS,R Panel,6925759.03
908,15/11/25,GG_L2_R Panel-SDP PP,R Panel,2968687.54
930,15/11/25,GG_L3_DSO-SDP Server,DSO-R Monitoring,1003107.65
880,15/11/25,GG_L3_DSO-SDP-LP-STK,DSO-R Panel,1946411.42
883,15/11/25,GG_L3_WB_AHU,WB-AHU,501710.63
929,15/11/25,GG_L3_WT_AHU,WT-AHU,513367.22
896,15/11/25,GG_L4_WB_AHU,WB-AHU,726974.86
916,15/11/25,GG_L4_WT_AHU,WT-AHU,562069.45
903,15/11/25,GG_L5_WB_AHU,WB-AHU,459865.92
928,15/11/25,GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,1399611.76
918,15/11/25,GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,813313.93
887,15/11/25,GG_L6_WB_AHU,WB-AHU,489408
987,16/11/25,GG_L1_DWS-SDP LP,DWS-Gudang,450469.9
981,16/11/25,GG_L1_DWS-SDP STK,DWS-Gudang,650468.59
951,16/11/25,GG_L1_PED-SDP LP,BPP-SDP.AHU,1405479.42
993,16/11/25,GG_L1_PED-SDP STK,BPP-SDP.AHU,886165.78
988,16/11/25,GG_L1_WB-DWS_AHU,WB DWS-AHU,859284
969,16/11/25,GG_L1_WT-B2B_AHU,WT B2B-AHU,128611.27
