No,DateTime,Device Name,Location,Energy Consumption (kWh)
447,21/12/25,GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,842689.1
475,21/12/25,GG_L6_WB_AHU,WB-AHU,463425.05
526,22/12/25,GG_L1_DWS-SDP LP,DWS-Gudang,489567.91
508,22/12/25,GG_L1_DWS-SDP STK,DWS-Gudang,706115.14
538,22/12/25,GG_L1_PED-SDP LP,BPP-SDP.AHU,1512291.07
531,22/12/25,GG_L1_PED-SDP STK,BPP-SDP.AHU,885238.86
527,22/12/25,GG_L1_WB-DWS_AHU,WB DWS-AHU,858165.48
497,22/12/25,GG_L1_WT-B2B_AHU,WT B2B-AHU,
514,22/12/25,GG_L1_WT-BPP_AHU,WT BPP-AHU,390322.29
533,22/12/25,GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,8495540.25
529,22/12/25,GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,513742.56
550,22/12/25,GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,1597067.66
525,22/12/25,GG_L2_R Panel-SDP DB LED,R Panel,2534662.48
512,22/12/25,GG_L2_R Panel-SDP DB UPS,R Panel,4454371.61
499,22/12/25,GG_L2_R Panel-SDP PP,R Panel,2175753.98
518,22/12/25,GG_L3_DSO-SDP Server,DSO-R Monitoring,1035945.3
517,22/12/25,GG_L3_DSO-SDP-LP-STK,DSO-R Panel,1440235
532,22/12/25,GG_L3_WB_AHU,WB-AHU,525553.8
519,22/12/25,GG_L3_WT_AHU,WT-AHU,509964.73
545,22/12/25,GG_L4_WB_AHU,WB-AHU,716347.56
507,22/12/25,GG_L4_WT_AHU,WT-AHU,556287.98
495,22/12/25,GG_L5_WB_AHU,WB-AHU,435941.57
504,22/12/25,GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,1196033.52
496,22/12/25,GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,807410.01
523,22/12/25,GG_L6_WB_AHU,WB-AHU,530446.39
564,23/12/25,GG_L1_DWS-SDP LP,DWS-Gudang,490899.66
606,23/12/25,GG_L1_DWS-SDP STK,DWS-Gudang,708384.65
602,23/12/25,GG_L1_PED-SDP LP,BPP-SDP.AHU,1390320.91
583,23/12/25,GG_L1_PED-SDP STK,BPP-SDP.AHU,928191.74
565,23/12/25,GG_L1_WB-DWS_AHU,WB DWS-AHU,939203.34
615,23/12/25,GG_L1_WT-B2B_AHU,WT B2B-AHU,19813.67
612,23/12/25,GG_L1_WT-BPP_AHU,WT BPP-AHU,450269.3
573,23/12/25,GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,8521416.55
582,23/12/25,GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,1544015.41
590,23/12/25,GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,1599716.28
589,23/12/25,GG_L2_R Panel-SDP DB LED,R Panel,2963243.79
576,23/12/25,GG_L2_R Panel-SDP DB UPS,R Panel,3190045.42
609,23/12/25,GG_L2_R Panel-SDP PP,R Panel,3135091.44
570,23/12/25,GG_L3_DSO-SDP Server,DSO-R Monitoring,992863.66
581,23/12/25,GG_L3_DSO-SDP-LP-STK,DSO-R Panel,1715562.19
571,23/12/25,GG_L3_WB_AHU,WB-AHU,504239
557,23/12/25,GG_L3_WT_AHU,WT-AHU,557986.48
584,23/12/25,GG_L4_WB_AHU,WB-AHU,750716.75
605,23/12/25,GG_L4_WT_AHU,WT-AHU,608528.56
592,23/12/25,GG_L5_WB_AHU,WB-AHU,478779.9
555,23/12/25,GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,1261720.25
593,23/12/25,GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,883002.09
561,23/12/25,GG_L6_WB_AHU,WB-AHU,532058.55
660,24/12/25,GG_L1_DWS-SDP LP,DWS-Gudang,492193.35
641,24/12/25,GG_L1_DWS-SDP STK,DWS-Gudang,710372.38
656,24/12/25,GG_L1_PED-SDP LP,BPP-SDP.AHU,1393787.96
636,24/12/25,GG_L1_PED-SDP STK,BPP-SDP.AHU,809337.52
661,24/12/25,GG_L1_WB-DWS_AHU,WB DWS-AHU,863460.43
677,24/12/25,GG_L1_WT-B2B_AHU,WT B2B-AHU,39746.26
647,24/12/25,GG_L1_WT-BPP_AHU,WT BPP-AHU,451506.46
667,24/12/25,GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,8536840.34
616,24/12/25,GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,172116.81
624,24/12/25,GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,687816.47
642,24/12/25,GG_L2_R Panel-SDP DB LED,R Panel,1979569.04
629,24/12/25,GG_L2_R Panel-SDP DB UPS,R Panel,4154868.78
663,24/12/25,GG_L2_R Panel-SDP PP,R Panel,2459265.9
623,24/12/25,GG_L3_DSO-SDP Server,DSO-R Monitoring,723378.45
632,24/12/25,GG_L3_DSO-SDP-LP-STK,DSO-R Panel,1539060.88
666,24/12/25,GG_L3_WB_AHU,WB-AHU,551733.19
653,24/12/25,GG_L3_WT_AHU,WT-AHU,559636.32
618,24/12/25,GG_L4_WB_AHU,WB-AHU,621943.72
640,24/12/25,GG_L4_WT_AHU,WT-AHU,610224.3
627,24/12/25,GG_L5_WB_AHU,WB-AHU,417365.42
650,24/12/25,GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,1327753.21
628,24/12/25,GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,885017.21
657,24/12/25,GG_L6_WB_AHU,WB-AHU,511471.84
679,25/12/25,GG_L1_DWS-SDP LP,DWS-Gudang,493229.1
721,25/12/25,GG_L1_DWS-SDP STK,DWS-Gudang,711548.84
717,25/12/25,GG_L1_PED-SDP LP,BPP-SDP.AHU,1142227.8
698,25/12/25,GG_L1_PED-SDP STK,BPP-SDP.AHU,770340.11
728,25/12/25,GG_L1_WB-DWS_AHU,WB DWS-AHU,668244.83
710,25/12/25,GG_L1_WT-B2B_AHU,WT B2B-AHU,19887.76
714,25/12/25,GG_L1_WT-BPP_AHU,WT BPP-AHU,393116.8
687,25/12/25,GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,8551796.17
684,25/12/25,GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,862632.09
692,25/12/25,GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,1151382.08
704,25/12/25,GG_L2_R Panel-SDP DB LED,R Panel,2691976.44
691,25/12/25,GG_L2_R Panel-SDP DB UPS,R Panel,3202154.91
725,25/12/25,GG_L2_R Panel-SDP PP,R Panel,1917115.15
685,25/12/25,GG_L3_DSO-SDP Server,DSO-R Monitoring,815553.75
696,25/12/25,GG_L3_DSO-SDP-LP-STK,DSO-R Panel,907512.8
734,25/12/25,GG_L3_WB_AHU,WB-AHU,437451.21
720,25/12/25,GG_L3_WT_AHU,WT-AHU,467026.41
686,25/12/25,GG_L4_WB_AHU,WB-AHU,688128.41
