No,Date Time,Device Name,Location,Energy Consumption (kWh)
307,"13, 01/11/25",GG_L3_DSO-SDP Server,DSO-R Monitoring,40598.29
308,"13, 01/11/25",GG_L1_PED-SDP STK,BPP-SDP.AHU,35571.34
309,"13, 01/11/25",GG_L2_R Panel-SDP PP,R Panel,118921.88
310,"13, 01/11/25",GG_L2_R Panel-SDP DB UPS,R Panel,277433.55
311,"13, 01/11/25",GG_L2_R Panel-SDP DB LED,R Panel,124912.96
312,"13, 01/11/25",GG_L1_PED-SDP LP,BPP-SDP.AHU,56607.58
313,"13, 01/11/25",GG_L3_DSO-SDP-LP-STK,DSO-R Panel,77690.97
314,"14, 01/11/25",GG_L1_WT-BPP_AHU,WT BPP-AHU,17555.98
315,"14, 01/11/25",GG_L1_WB-DWS_AHU,WB DWS-AHU,34694.82
316,"14, 01/11/25",GG_L5_WB_AHU,WB-AHU,18505.68
317,"14, 01/11/25",GG_L4_WT_AHU,WT-AHU,22679.92
318,"14, 01/11/25",GG_L3_WT_AHU,WT-AHU,20676.44
319,"14, 01/11/25",GG_L3_WB_AHU,WB-AHU,20142.44
320,"14, 01/11/25",GG_L4_WB_AHU,WB-AHU,29198.16
321,"14, 01/11/25",GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,56469.26
322,"14, 01/11/25",GG_L1_WT-B2B_AHU,WT B2B-AHU,17744.58
323,"14, 01/11/25",GG_L6_WB_AHU,WB-AHU,19721.64
324,"14, 01/11/25",GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,32776.9
325,"14, 01/11/25",GG_L1_DWS-SDP STK,DWS-Gudang,26177.36
